Price,('Close', 'TGSU2.BA'),('High', 'TGSU2.BA'),('Low', 'TGSU2.BA'),('Open', 'TGSU2.BA'),('Volume', 'TGSU2.BA')
Ticker,TGSU2.BA,TGSU2.BA,TGSU2.BA,TGSU2.BA,TGSU2.BA
Date,,,,,
2020-04-17,90.25,94.5,88.69999694824219,92.05000305175781,78928
2020-04-20,92.3499984741211,93.19999694824219,88.5,91.0,93447
2020-04-21,92.0,94.25,86.44999694824219,91.75,106721
2020-04-22,93.1500015258789,96.19999694824219,92.5,94.0999984741211,72610
2020-04-23,97.5,98.5,94.55000305175781,95.0,153981
2020-04-24,93.69999694824219,99.0,92.6500015258789,99.0,67423
2020-04-27,97.05000305175781,97.55000305175781,91.94999694824219,93.5,55467
2020-04-28,101.75,102.9000015258789,95.9000015258789,100.0,111657
2020-04-29,100.9000015258789,102.9000015258789,97.5,102.25,121308
2020-04-30,101.80000305175781,102.80000305175781,99.9000015258789,102.0,67300
2020-05-04,97.19999694824219,101.75,94.9000015258789,101.75,104380
2020-05-05,100.0999984741211,101.9000015258789,95.0,100.0,94365
2020-05-06,101.25,103.0,97.25,101.0,119440
2020-05-07,107.75,108.0,99.94999694824219,104.0,274845
2020-05-08,110.44999694824219,115.0,107.0999984741211,108.0999984741211,308913
2020-05-11,119.1500015258789,119.4000015258789,106.8499984741211,110.0,130229
2020-05-12,122.05000305175781,126.25,119.05000305175781,119.05000305175781,169280
2020-05-13,121.94999694824219,122.4000015258789,116.80000305175781,122.0,82192
2020-05-14,127.4000015258789,128.1999969482422,119.0,121.94999694824219,229721
2020-05-15,127.5,133.0,124.0999984741211,128.3000030517578,217542
2020-05-18,127.30000305175781,135.0,126.19999694824219,133.14999389648438,165685
2020-05-19,125.69999694824219,131.3000030517578,125.0999984741211,126.9000015258789,118163
2020-05-20,125.80000305175781,130.0,121.5999984741211,128.35000610351562,84835
2020-05-21,131.0,132.1999969482422,124.0,125.80000305175781,337492
2020-05-22,130.25,131.9499969482422,126.19999694824219,130.0,238794
2020-05-26,128.0500030517578,137.5,126.5,130.25,148057
2020-05-27,122.5999984741211,128.60000610351562,115.0,124.0,186889
2020-05-28,122.6500015258789,125.5,120.0999984741211,124.0,170549
2020-05-29,121.5,123.5,115.0,122.69999694824219,78601
2020-06-01,129.39999389648438,130.0,120.0,123.0,76623
2020-06-02,133.0,133.1999969482422,131.0,133.0,66278
2020-06-03,132.5500030517578,135.0,131.5,135.0,116839
2020-06-04,132.5500030517578,134.9499969482422,131.0500030517578,131.0500030517578,91618
2020-06-05,139.64999389648438,140.8000030517578,134.0500030517578,134.0500030517578,186754
2020-06-08,152.1999969482422,154.0,143.6999969482422,144.0,107446
2020-06-09,147.0,148.60000610351562,138.0,145.0,347241
2020-06-10,142.39999389648438,146.89999389648438,138.89999389648438,145.9499969482422,174472
2020-06-11,131.0500030517578,139.9499969482422,128.64999389648438,139.9499969482422,236077
2020-06-12,127.80000305175781,138.0,123.0,135.0,187908
2020-06-16,125.5,132.0,124.0,128.0,109687
2020-06-17,119.1500015258789,124.44999694824219,116.0,124.44999694824219,70950
2020-06-18,111.6500015258789,119.0,110.9000015258789,115.0,62823
2020-06-19,119.6500015258789,122.44999694824219,115.0,115.0,57791
2020-06-22,120.9000015258789,125.8499984741211,115.75,119.6500015258789,113156
2020-06-23,119.69999694824219,124.0,117.05000305175781,121.0,78930
2020-06-24,117.75,120.5,115.6500015258789,118.30000305175781,69685
2020-06-25,124.5,125.5,117.5,117.5,55253
2020-06-26,118.0,125.9000015258789,116.0,125.0,68540
2020-06-29,119.0,123.0,118.25,118.25,42793
2020-06-30,114.0999984741211,119.9000015258789,107.0,118.05000305175781,159973
2020-07-01,120.4000015258789,121.0,112.75,114.05000305175781,180819
2020-07-02,116.5,124.0,115.5,120.4000015258789,105277
2020-07-03,117.94999694824219,122.0,115.0999984741211,116.5,47810
2020-07-06,129.3000030517578,130.5,121.0999984741211,121.0999984741211,195530
2020-07-07,125.5,129.0,120.5,126.6500015258789,75150
2020-07-08,131.0,131.8000030517578,125.0,127.0,89018
2020-07-13,127.0,134.0,125.05000305175781,130.0,151256
2020-07-14,128.0500030517578,129.6999969482422,124.5,126.94999694824219,43052
2020-07-15,130.9499969482422,132.25,129.0,132.25,72874
2020-07-16,130.5500030517578,131.1999969482422,128.10000610351562,130.39999389648438,44309
2020-07-17,128.75,132.9499969482422,128.0,132.5,55639
2020-07-20,129.5500030517578,130.9499969482422,127.19999694824219,128.75,39881
2020-07-21,136.8000030517578,138.0,129.0,129.0,224324
2020-07-22,136.5,140.1999969482422,130.6999969482422,137.0,129011
2020-07-23,138.25,141.89999389648438,136.0,138.0,103543
2020-07-24,143.9499969482422,144.3000030517578,136.0,137.75,198446
2020-07-27,141.25,145.5,141.0,145.0,282676
2020-07-28,135.35000610351562,141.25,134.1999969482422,141.0,140470
2020-07-29,137.0,138.0,133.1999969482422,136.0,133220
2020-07-30,144.9499969482422,145.0,132.0,135.89999389648438,162179
2020-07-31,141.35000610351562,144.9499969482422,138.5,144.9499969482422,143674
2020-08-03,149.6999969482422,153.0,136.5,138.0,416544
2020-08-04,153.5,165.0,150.10000610351562,154.0,131483
2020-08-05,151.0500030517578,160.0,149.0,157.10000610351562,146438
2020-08-06,152.35000610351562,154.0,148.5,152.0,139650
2020-08-07,151.9499969482422,153.89999389648438,147.9499969482422,147.9499969482422,142554
2020-08-10,155.25,156.0,145.0,148.0,267969
2020-08-11,146.64999389648438,154.9499969482422,146.0,154.9499969482422,185744
2020-08-12,139.89999389648438,146.25,138.0,146.25,203483
2020-08-13,141.39999389648438,146.14999389648438,138.0,140.0,77182
2020-08-14,134.64999389648438,142.89999389648438,132.5,142.89999389648438,142664
2020-08-18,128.4499969482422,134.64999389648438,128.0,134.64999389648438,49141
2020-08-19,129.8000030517578,134.64999389648438,128.0,128.0,131908
2020-08-20,128.10000610351562,131.0,127.6500015258789,130.0,63848
2020-08-21,130.64999389648438,135.5500030517578,128.5,128.5,118729
2020-08-24,128.89999389648438,134.9499969482422,124.0,134.9499969482422,179618
2020-08-25,122.05000305175781,128.0,120.30000305175781,128.0,379176
2020-08-26,119.6500015258789,125.0,118.0,123.0,431130
2020-08-27,112.80000305175781,124.94999694824219,111.5,120.5,238453
2020-08-28,120.9000015258789,122.0,113.25,113.25,156212
2020-08-31,123.8499984741211,126.0,117.5,122.0999984741211,383875
2020-09-01,124.6500015258789,125.25,120.55000305175781,123.8499984741211,272149
2020-09-02,118.0999984741211,124.5,118.0,124.0,73969
2020-09-03,122.4000015258789,124.0,118.75,119.69999694824219,42831
2020-09-04,121.4000015258789,125.8499984741211,117.0999984741211,125.8499984741211,126130
2020-09-07,122.19999694824219,123.94999694824219,119.0,123.94999694824219,14109
2020-09-08,121.75,121.9000015258789,117.5999984741211,117.94999694824219,102966
2020-09-09,121.5999984741211,123.0999984741211,120.0,121.1500015258789,75857
2020-09-10,119.30000305175781,122.0,119.0,122.0,129089
2020-09-11,120.69999694824219,122.19999694824219,118.5,118.9000015258789,106831
2020-09-14,119.1500015258789,122.9000015258789,118.0,122.9000015258789,55492
2020-09-15,117.30000305175781,118.4000015258789,115.0,118.19999694824219,101477
2020-09-16,109.69999694824219,115.5,107.0999984741211,115.5,89193
2020-09-17,105.4000015258789,109.80000305175781,104.0,109.80000305175781,287237
2020-09-18,112.9000015258789,113.94999694824219,105.5,105.8499984741211,166041
2020-09-21,117.0,117.5,109.0,109.0,76500
2020-09-22,118.0999984741211,119.0,113.0999984741211,118.5,88538
2020-09-23,122.0999984741211,122.9000015258789,115.0,115.0,112244
2020-09-24,118.55000305175781,122.80000305175781,117.5,122.80000305175781,197786
2020-09-25,118.69999694824219,120.5,118.0,118.0,25997
2020-09-28,119.05000305175781,122.5,116.25,120.30000305175781,146724
2020-09-29,118.0999984741211,120.0,116.0,119.75,158642
2020-09-30,116.5999984741211,122.0,116.0,118.0,126107
2020-10-01,125.05000305175781,126.4000015258789,117.0,120.94999694824219,116165
2020-10-02,126.80000305175781,127.0,122.5,126.0999984741211,73197
2020-10-05,129.64999389648438,129.8000030517578,125.69999694824219,128.5,70870
2020-10-06,131.10000610351562,132.10000610351562,129.5,130.0,134233
2020-10-07,128.4499969482422,131.0500030517578,123.19999694824219,131.0500030517578,167391
2020-10-08,129.9499969482422,130.89999389648438,126.0,127.5999984741211,86421
2020-10-09,134.0,134.5,128.25,130.0,194545
2020-10-13,142.85000610351562,143.39999389648438,133.8000030517578,134.0,404019
2020-10-14,150.1999969482422,151.0,138.5,142.5,280018
2020-10-15,155.5500030517578,156.1999969482422,146.5,149.89999389648438,260590
2020-10-16,158.35000610351562,160.0,153.0,155.0,124748
2020-10-19,163.4499969482422,164.0,158.1999969482422,158.1999969482422,147328
2020-10-20,166.6999969482422,168.9499969482422,156.64999389648438,162.0,225134
2020-10-21,163.75,170.0,160.5,167.6999969482422,168316
2020-10-22,170.60000610351562,171.0,161.1999969482422,163.0,120434
2020-10-23,173.60000610351562,174.0,163.0500030517578,170.0,105585
2020-10-26,157.60000610351562,173.0,155.0,173.0,109175
2020-10-27,147.0,164.89999389648438,146.25,157.39999389648438,115442
2020-10-28,143.5,147.89999389648438,135.0,142.5,84858
2020-10-29,154.1999969482422,157.0,142.0,142.0,136381
2020-10-30,152.9499969482422,157.0,146.0,157.0,57231
2020-11-02,160.8000030517578,162.75,150.0,152.0,144686
2020-11-03,163.75,165.0,159.0,161.0,173893
2020-11-04,155.5500030517578,166.0,155.5,163.4499969482422,59484
2020-11-05,156.4499969482422,160.0,155.0,156.5,61261
2020-11-06,160.0,160.1999969482422,157.5,158.89999389648438,16384
2020-11-09,155.10000610351562,165.0,155.0,163.0,148781
2020-11-10,156.3000030517578,160.0,150.25,155.10000610351562,61735
2020-11-11,160.75,161.5,157.1999969482422,157.1999969482422,100851
2020-11-12,159.39999389648438,163.64999389648438,155.0,162.0,542561
2020-11-13,158.0500030517578,162.0,156.0,161.0,48890
2020-11-16,157.0,160.0,143.0,158.0,65792
2020-11-17,162.60000610351562,163.5,156.5,162.0,126537
2020-11-18,157.5500030517578,163.0,157.0,161.75,35822
2020-11-19,154.75,159.1999969482422,152.5,156.3000030517578,33163
2020-11-20,161.5,162.9499969482422,152.0,154.75,38305
2020-11-24,168.75,169.1999969482422,160.3000030517578,160.3000030517578,281893
2020-11-25,167.0500030517578,171.25,164.5,168.0,68426
2020-11-26,168.9499969482422,171.4499969482422,159.6999969482422,159.6999969482422,26285
2020-11-27,165.35000610351562,171.5,164.1999969482422,169.0,99561
2020-11-30,162.5,169.64999389648438,162.3000030517578,169.60000610351562,38425
2020-12-01,167.8000030517578,168.60000610351562,161.89999389648438,162.0,95882
2020-12-02,168.5500030517578,171.6999969482422,164.5,170.0,71967
2020-12-03,167.75,173.0,167.0,167.0,39312
2020-12-04,168.5,171.0,167.5,170.0,95132
2020-12-09,158.39999389648438,168.0,156.0,168.0,63348
2020-12-10,158.14999389648438,159.89999389648438,156.0,158.39999389648438,152764
2020-12-11,162.4499969482422,164.89999389648438,156.0,156.0,114852
2020-12-14,159.0,168.39999389648438,157.4499969482422,162.5,124620
2020-12-15,165.9499969482422,166.9499969482422,158.5,158.5,131712
2020-12-16,165.3000030517578,168.3000030517578,163.89999389648438,168.0,135475
2020-12-17,161.14999389648438,168.0,160.25,162.0,146274
2020-12-18,158.3000030517578,165.60000610351562,157.10000610351562,165.60000610351562,131743
2020-12-21,150.35000610351562,158.89999389648438,147.0,158.5,104474
2020-12-22,150.0,154.0,149.0,151.0,202039
2020-12-23,153.3000030517578,160.0,150.0,150.0,208995
2020-12-28,147.0,154.0,146.25,153.0,136070
2020-12-29,152.25,153.9499969482422,147.0,147.0,65364
2020-12-30,153.14999389648438,158.10000610351562,153.0,156.0,118791
2021-01-04,155.10000610351562,163.0,150.0,155.0,83847
2021-01-05,158.0,159.0,150.0500030517578,155.10000610351562,48811
2021-01-06,153.75,162.5,153.0500030517578,159.5,55226
2021-01-07,159.75,160.0,154.0,154.0,183543
2021-01-08,155.6999969482422,159.75,155.0,159.0,99912
2021-01-11,159.14999389648438,162.0,155.0,156.0,352520
2021-01-12,160.75,162.89999389648438,157.5500030517578,161.0,71510
2021-01-13,161.6999969482422,162.0,157.5,160.75,67318
2021-01-14,160.0,162.1999969482422,158.3000030517578,162.0,45753
2021-01-15,157.5500030517578,163.0,155.10000610351562,160.0,85776
2021-01-18,154.0,157.0,149.6999969482422,157.0,22040
2021-01-19,159.8000030517578,160.0,150.8000030517578,152.0,129409
2021-01-20,159.85000610351562,160.0,153.1999969482422,159.5,153519
2021-01-21,155.75,160.5,154.10000610351562,159.0,84744
2021-01-22,153.75,158.89999389648438,152.0,152.14999389648438,267731
2021-01-25,153.9499969482422,158.1999969482422,149.64999389648438,153.5,111976
2021-01-26,157.64999389648438,161.0,151.5500030517578,156.0,93504
2021-01-27,157.0,161.0,153.14999389648438,161.0,692866
2021-01-28,153.8000030517578,160.89999389648438,153.5,157.0,291813
2021-01-29,151.64999389648438,157.0,151.0,153.39999389648438,158148
2021-02-01,153.6999969482422,157.8000030517578,152.5,155.0,38684
2021-02-02,155.5500030517578,159.10000610351562,153.5,153.60000610351562,46353
2021-02-03,154.6999969482422,159.35000610351562,153.0500030517578,153.0500030517578,165552
2021-02-04,157.1999969482422,158.0,152.0,152.0,71575
2021-02-05,157.0,158.9499969482422,152.5500030517578,152.5500030517578,40342
2021-02-08,156.1999969482422,157.14999389648438,153.75,157.14999389648438,47370
2021-02-09,154.8000030517578,159.10000610351562,153.0,156.25,76212
2021-02-10,153.5,157.0,152.8000030517578,152.8000030517578,45560
2021-02-11,151.0500030517578,155.0,151.0,153.5,15292
2021-02-12,150.8000030517578,155.0,149.14999389648438,155.0,76038
2021-02-17,158.5500030517578,158.6999969482422,154.14999389648438,154.14999389648438,162798
2021-02-18,154.25,158.5,149.8000030517578,158.5,110371
2021-02-19,149.9499969482422,154.0,148.4499969482422,152.0,36848
2021-02-22,142.14999389648438,151.0,141.3000030517578,149.0,33691
2021-02-23,143.35000610351562,144.3000030517578,136.5,142.14999389648438,50991
2021-02-24,144.10000610351562,146.8000030517578,140.0500030517578,142.9499969482422,45937
2021-02-25,141.0,146.4499969482422,140.0,145.0,29823
2021-02-26,138.85000610351562,144.89999389648438,138.5,141.60000610351562,19795
2021-03-01,141.25,144.5,139.0,140.0,30895
2021-03-02,137.3000030517578,143.0,137.0,141.0,23323
2021-03-03,132.0,139.5,132.0,137.0,88618
2021-03-04,132.8000030517578,137.5,129.0500030517578,134.89999389648438,102805
2021-03-05,137.0500030517578,137.14999389648438,130.1999969482422,130.1999969482422,68648
2021-03-08,132.64999389648438,140.0,132.3000030517578,136.0,65443
2021-03-09,133.60000610351562,137.6999969482422,130.75,132.0,100067
2021-03-10,131.35000610351562,136.5,130.8000030517578,133.39999389648438,158501
2021-03-11,137.10000610351562,138.6999969482422,131.35000610351562,131.35000610351562,372204
2021-03-12,139.8000030517578,141.0,135.5,136.0,99340
2021-03-15,140.35000610351562,143.25,138.14999389648438,140.8000030517578,147378
2021-03-16,140.4499969482422,143.5,139.0,142.5,155404
2021-03-17,142.1999969482422,142.5,139.5,139.5,85253
2021-03-18,137.5500030517578,143.5,137.0,142.1999969482422,145967
2021-03-19,136.14999389648438,137.5500030517578,134.0,135.0500030517578,104233
2021-03-22,135.8000030517578,138.5,134.0500030517578,136.0,170776
2021-03-23,133.0,138.3000030517578,133.0,134.5500030517578,137811
2021-03-25,130.64999389648438,136.0,129.0,133.0,191384
2021-03-26,130.85000610351562,135.1999969482422,129.1999969482422,129.1999969482422,74030
2021-03-29,139.4499969482422,140.0,128.0,128.10000610351562,54951
2021-03-30,139.60000610351562,141.9499969482422,136.0,141.9499969482422,16630
2021-03-31,139.10000610351562,142.5,136.0,137.0,152745
2021-04-05,142.8000030517578,143.0,139.0,139.0,87801
2021-04-06,144.10000610351562,146.4499969482422,142.0,142.0,168237
2021-04-07,139.0,146.8000030517578,138.5,145.0,272451
2021-04-08,140.14999389648438,142.5,138.5,138.5,80051
2021-04-09,138.60000610351562,142.0,138.35000610351562,141.0,30202
2021-04-12,135.4499969482422,138.60000610351562,133.5,138.60000610351562,22809
2021-04-13,130.85000610351562,135.85000610351562,130.6999969482422,135.5,31500
2021-04-14,128.25,135.0,127.5,131.1999969482422,83096
2021-04-15,128.25,131.4499969482422,126.5,131.25,108173
2021-04-16,131.10000610351562,132.75,128.25,130.0,47584
2021-04-19,138.0,138.5,130.0,130.0,46588
2021-04-20,132.8000030517578,138.0,131.35000610351562,137.5,94386
2021-04-21,135.14999389648438,136.89999389648438,131.5,131.5,108126
2021-04-22,134.39999389648438,137.14999389648438,134.0,136.8000030517578,30297
2021-04-23,134.39999389648438,136.0,132.0500030517578,134.0,35535
2021-04-26,133.85000610351562,136.0,132.5,132.5,39896
2021-04-27,136.4499969482422,138.0,132.8000030517578,132.8000030517578,78849
2021-04-28,142.5,143.0,135.0,135.0,67882
2021-04-29,142.35000610351562,144.0,141.6999969482422,141.6999969482422,19912
2021-04-30,139.35000610351562,143.5,138.0,143.0,38599
2021-05-03,141.6999969482422,143.5,139.64999389648438,143.0,86872
2021-05-04,138.3000030517578,141.89999389648438,137.0,141.4499969482422,51406
2021-05-05,137.25,143.8000030517578,137.10000610351562,139.0,84736
2021-05-06,136.3000030517578,140.0,135.5500030517578,137.25,57149
2021-05-07,139.89999389648438,141.0,136.60000610351562,137.0,34526
2021-05-10,139.60000610351562,142.5,138.5,141.6999969482422,65163
2021-05-11,138.0,143.0,137.10000610351562,139.0,24821
2021-05-12,141.89999389648438,142.5,138.0500030517578,142.0,56542
2021-05-13,147.5500030517578,147.9499969482422,140.85000610351562,142.0,63878
2021-05-14,147.8000030517578,153.0,147.25,147.89999389648438,111772
2021-05-17,154.0500030517578,154.5,145.0,145.5,45861
2021-05-18,153.85000610351562,155.5,150.0,154.0500030517578,205192
2021-05-19,151.1999969482422,153.25,149.25,152.0,31791
2021-05-20,152.75,154.5,150.25,150.25,31934
2021-05-21,150.0,157.0,150.0,157.0,16234
2021-05-26,145.6999969482422,147.89999389648438,142.0,147.89999389648438,135576
2021-05-27,148.5500030517578,149.9499969482422,146.0,149.0,93207
2021-05-28,153.0,155.5,152.0,153.0,73477
2021-05-31,152.1999969482422,154.5,151.10000610351562,153.0,23286
2021-06-01,164.8000030517578,165.0,157.10000610351562,157.10000610351562,129203
2021-06-02,169.9499969482422,171.25,165.14999389648438,165.14999389648438,122582
2021-06-03,176.35000610351562,177.89999389648438,162.5,166.0,108696
2021-06-04,178.4499969482422,179.5,171.0,177.0,71137
2021-06-07,181.4499969482422,185.75,180.5,181.10000610351562,117228
2021-06-08,175.4499969482422,181.0,172.25,181.0,100988
2021-06-09,186.39999389648438,188.25,176.35000610351562,180.0,198817
2021-06-10,186.0,189.1999969482422,182.0,186.5,152173
2021-06-11,176.64999389648438,186.0500030517578,175.75,186.0500030517578,54330
2021-06-14,174.85000610351562,180.0,174.60000610351562,177.3000030517578,100193
2021-06-15,179.0500030517578,180.0,170.1999969482422,174.89999389648438,64698
2021-06-16,177.0,178.5,173.5,175.4499969482422,111826
2021-06-17,170.14999389648438,179.5,166.39999389648438,179.5,74612
2021-06-18,170.64999389648438,171.8000030517578,167.0,170.0,55061
2021-06-22,168.5,171.0,165.0,171.0,83340
2021-06-23,173.5,176.5,170.8000030517578,176.5,120626
2021-06-24,173.89999389648438,176.5,169.89999389648438,174.3000030517578,46043
2021-06-25,169.0500030517578,169.5,164.0,168.0,83945
2021-06-28,164.25,167.25,162.5,166.14999389648438,67418
2021-06-29,161.10000610351562,164.75,160.0,162.6999969482422,47638
2021-06-30,156.64999389648438,162.89999389648438,156.0,161.89999389648438,91706
2021-07-01,153.5500030517578,160.5,153.5,155.0,36473
2021-07-02,158.89999389648438,161.0,154.25,154.3000030517578,46137
2021-07-05,162.0,165.0,158.89999389648438,158.89999389648438,17624
2021-07-06,157.10000610351562,164.0,155.0,164.0,31352
2021-07-07,157.75,160.0,154.89999389648438,160.0,50529
2021-07-08,154.9499969482422,161.0,152.0,157.25,54400
2021-07-12,164.39999389648438,165.8000030517578,156.35000610351562,156.35000610351562,135774
2021-07-13,164.35000610351562,165.5,161.1999969482422,164.5,20127
2021-07-14,157.1999969482422,166.0,157.0,164.10000610351562,98021
2021-07-15,158.10000610351562,162.0,154.25,160.0,49318
2021-07-16,156.5,159.5,154.3000030517578,159.5,60915
2021-07-19,154.8000030517578,156.0,149.0,155.89999389648438,37918
2021-07-20,161.5,162.0,155.0,155.0,32330
2021-07-21,160.4499969482422,164.0,159.0,161.5,77878
2021-07-22,160.60000610351562,164.0,158.64999389648438,162.0,16412
2021-07-23,158.9499969482422,163.0,158.0,161.0,22168
2021-07-26,163.0500030517578,164.6999969482422,158.9499969482422,158.9499969482422,31914
2021-07-27,163.8000030517578,165.0,159.5500030517578,165.0,13967
2021-07-28,161.1999969482422,165.1999969482422,159.0,164.0,79088
2021-07-29,162.3000030517578,163.5,158.5,161.0,86006
2021-07-30,159.0500030517578,164.0,156.60000610351562,162.10000610351562,130417
2021-08-02,159.5500030517578,162.0,158.0,158.0,33876
2021-08-03,162.64999389648438,163.0,156.14999389648438,157.0,48050
2021-08-04,158.1999969482422,164.0,157.0,164.0,82356
2021-08-05,165.5500030517578,166.5,158.3000030517578,159.5,117031
2021-08-06,171.89999389648438,173.0,163.5,165.0,156101
2021-08-09,166.14999389648438,172.5,166.0,171.85000610351562,63928
2021-08-10,170.6999969482422,171.0,165.5,167.0,57357
2021-08-11,172.0,173.89999389648438,168.25,173.89999389648438,79003
2021-08-12,173.3000030517578,173.9499969482422,168.89999389648438,173.0,85408
2021-08-13,171.5,174.5,168.0,170.5,41441
2021-08-17,165.89999389648438,170.0,163.0,170.0,53602
2021-08-18,161.39999389648438,165.8000030517578,160.0,165.8000030517578,26773
2021-08-19,163.85000610351562,164.5,157.5500030517578,159.75,81407
2021-08-20,168.1999969482422,171.0,163.85000610351562,164.1999969482422,68142
2021-08-23,171.9499969482422,172.5,166.0,168.1999969482422,34031
2021-08-24,179.0,179.39999389648438,171.39999389648438,171.39999389648438,147302
